timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
82678829,-3.6576486e-05,0.0006544191,0.00041280966,0.0
82875530,0.00062210293,-0.00092071755,0.00039270203,0.0
83075719,0.0001058088,-0.00017204149,0.00024272189,0.0
83275883,0.0003775283,-0.0004854602,0.00031592738,0.0
83475768,0.00025389265,7.897027e-05,0.00033734,0.0
83675808,-0.00011683096,-9.166178e-05,-0.00023613605,0.0
83879112,-7.5827434e-06,-0.0010346906,0.00015520408,0.0
84075255,0.00012697205,-0.0005733857,9.246852e-05,0.0
84275189,-8.267647e-06,0.00041186917,-0.0002866906,0.0
84475938,2.8560657e-05,-0.0010268874,-0.00043097048,0.0
84675779,0.00032194934,0.00014945387,-0.0001426502,0.0
84875988,-1.0939737e-05,-0.00088069926,1.670013e-05,0.0
85079135,0.00017654464,0.0005934691,-8.411264e-05,0.0
85279004,0.00023063102,0.00052853744,4.381297e-05,0.0
85475866,-0.00048477625,0.00044392244,-6.064514e-05,0.0
85675716,0.000114177135,-0.00033231947,9.166666e-06,0.0
85875825,-0.0002464343,0.00024470314,0.00021448171,0.0
86075564,-0.00028668626,1.3557631e-05,0.0001060925,0.0
86275717,-0.00023584685,-0.0007474884,-0.00039494937,0.0
86480036,-0.00022180288,-0.000310395,-5.1379848e-05,0.0
86679124,0.00046986114,-0.0002833615,0.00016723409,0.0
86875024,-0.00034593124,-8.840141e-06,-0.00012315238,0.0
87075905,-0.0005714457,0.0013803637,-8.540619e-06,0.0
87275247,0.0005821091,0.00080192497,-0.00014965532,0.0
87475179,0.00039109826,0.00011009679,-0.0002726224,0.0
87675718,-0.000645055,0.0004994426,-0.00022096511,0.0
87876033,-0.0004369827,0.0005141833,0.00021084432,0.0
88079666,-0.00017722268,0.000315095,0.00047299135,0.0
88276303,0.00039767174,0.00024104335,1.526858e-05,0.0
88476465,-0.0012010905,0.0014002966,0.00015208265,0.0
88675389,0.00052696955,0.0006933921,-2.1353528e-05,0.0
88876205,-0.0005266313,1.915587e-05,-0.00014966445,0.0
89075982,-0.00022596912,0.00042115297,0.00015733998,0.0
89276073,-0.00019782867,0.0002736915,-0.0003625248,0.0
89479405,-0.00016258571,0.0009297526,6.369984e-05,0.0
89675345,-7.7217774e-05,0.00044796665,1.9954767e-05,0.0
89875164,0.0001783556,-0.00066493184,-0.00014605974,0.0
90075840,-0.00083663425,0.0004025226,0.00015948099,0.0
90275739,0.00019851477,-0.0001251336,0.00011977625,0.0
90475903,8.0918944e-05,0.00053797086,-0.00042746478,0.0
90675594,0.0001493036,0.00045533004,-0.00031253803,0.0
90879136,0.00054145954,-0.00024302643,-0.00020217485,0.0
91075912,5.160598e-06,0.00040534342,1.5758384e-05,0.0
91275637,-4.247975e-05,-0.00011428173,-0.0002334947,0.0
91475772,-2.1092812e-05,8.073637e-05,0.00027520696,0.0
91676172,0.00010429592,0.00080728706,0.00012894497,0.0
91875465,-0.00011664742,0.00040619957,8.617839e-05,0.0
92075807,0.00026207254,0.0008824119,-5.4185493e-05,0.0
92276082,0.00012703486,-5.7917183e-05,-0.00039322645,0.0
92476093,-0.0005231068,0.00013994977,-0.00039951713,0.0
