timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
218545951,inf,0,0,0,0,1,1,0,1,0,1
219549418,inf,0,0,0,0,1,1,0,1,0,1
220557764,inf,0,0,0,0,1,1,0,1,0,1
221561687,inf,0,0,0,0,1,1,0,1,0,1
222565958,inf,0,0,0,0,1,1,0,1,0,1
223573253,inf,0,0,0,0,1,1,0,1,0,1
224577701,inf,0,0,0,0,1,1,0,1,0,1
225578167,inf,0,0,0,0,1,1,0,1,0,1
226581357,inf,0,0,0,0,1,1,0,1,0,1
227581951,inf,0,0,0,0,1,1,0,1,0,1
228587214,inf,0,0,0,0,1,1,0,1,0,1
229593933,inf,0,0,0,0,1,1,0,1,0,1
230598183,inf,0,0,0,0,1,1,0,1,0,1
231602320,inf,0,0,0,0,1,1,0,1,0,1
232610287,inf,0,0,0,0,1,1,0,1,0,1
233610715,inf,0,0,0,0,1,1,0,1,0,1
234614501,inf,0,0,0,0,1,1,0,1,0,1
235622812,inf,0,0,0,0,1,1,0,1,0,1
236634587,inf,0,0,0,0,1,1,0,1,0,1
237642428,inf,0,0,0,0,1,1,0,1,0,1
238642746,inf,0,0,0,0,1,1,0,1,0,1
239650500,inf,0,0,0,0,1,1,0,1,0,1
240657608,inf,0,0,0,0,1,1,0,1,0,1
241662519,inf,0,0,0,0,1,1,0,1,0,1
242670708,inf,0,0,0,0,1,1,0,1,0,1
243674787,inf,0,0,0,0,1,1,0,1,0,1
244678120,inf,0,0,0,0,1,1,0,1,0,1
245678718,inf,0,0,0,0,1,1,0,1,0,1
246678812,inf,0,0,0,0,1,1,0,1,0,1
247682344,inf,0,0,0,0,1,1,0,1,0,1
248682455,inf,0,0,0,0,1,1,0,1,0,1
249690762,inf,0,0,0,0,1,1,0,1,0,1
250698808,inf,0,0,0,0,1,1,0,1,0,1
251699059,inf,0,0,0,0,1,1,0,1,0,1
252702613,inf,0,0,0,0,1,1,0,1,0,1
253703155,inf,0,0,0,0,1,1,0,1,0,1
254703249,inf,0,0,0,0,1,1,0,1,0,1
255707060,inf,0,0,0,0,1,1,0,1,0,1
256707202,inf,0,0,0,0,1,1,0,1,0,1
257711383,inf,0,0,0,0,1,1,0,1,0,1
258718584,inf,0,0,0,0,1,1,0,1,0,1
259722733,inf,0,0,0,0,1,1,0,1,0,1
260723331,inf,0,0,0,0,1,1,0,1,0,1
261723966,inf,0,0,0,0,1,1,1,0,0,1
262727222,inf,0,0,0,0,1,1,1,0,0,1
263736341,inf,0,0,0,0,1,1,1,0,0,1
264739169,inf,0,0,0,0,1,1,1,0,0,1
265743447,inf,0,0,0,0,1,1,1,1,0,1
266747561,inf,0,0,0,0,1,1,1,1,0,1
267751664,inf,0,0,0,0,1,1,1,1,0,1
268395424,inf,0,0,0,0,0,0,1,1,0,1
268443778,inf,0,0,0,0,1,1,1,1,0,1
268735258,inf,0,1,1,1,1,1,1,1,0,1
