timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
66675441,66675412,0.60853595,8.989455e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
66775337,66775308,0.60853595,9.00277e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
66871503,66871474,0.60853595,9.015176e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
66975549,66975520,0.60853595,9.029606e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
67075241,67075212,0.60853595,9.042903e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
67167832,67167804,0.60853595,9.054392e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
67275354,67275325,0.60853595,9.068424e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
67375897,67375866,0.60895276,8.979447e-06,-0.60957944,1.0022714,0.041193888,1.0,1
67475838,67475807,0.6094686,8.795316e-06,-0.68351763,1.0022098,0.051796246,1.0,1
67571462,67571430,0.6098746,8.658072e-06,-0.09844303,1.0021379,0.001074484,1.0,1
67671135,67671104,0.61038375,8.489285e-06,-0.08456305,1.0020738,0.0007929012,1.0,1
67775021,67774990,0.61107886,8.311252e-06,-0.122611105,1.0020285,0.0016670056,1.0,1
67870886,67870852,0.6114715,8.157166e-06,-0.4776976,1.0019853,0.025304763,1.0,1
67975802,67975771,0.61208063,7.995085e-06,0.021470696,1.0019637,5.112081e-05,1.0,1
68075320,68075289,0.6124689,7.855365e-06,0.01422447,1.0019045,2.2438991e-05,1.0,1
68167271,68167234,0.61298263,7.73579e-06,-0.39029014,1.0018787,0.016893417,1.0,1
68271589,68271554,0.6134166,7.6068304e-06,-0.12821528,1.0018421,0.0018232145,1.0,1
68372169,68372135,0.61364484,7.4827904e-06,-0.34763747,1.001794,0.0134039335,1.0,1
68475914,68475883,0.6140925,7.3649035e-06,-0.56569123,1.0017772,0.035493206,1.0,1
68575313,68575282,0.6145144,7.249672e-06,-0.77543163,1.0017561,0.06669335,1.0,1
68671369,68671335,0.6148336,7.1369773e-06,-0.068954825,1.0017216,0.00052739953,1.0,1
68776198,68776166,0.61521506,7.0312512e-06,-0.463659,1.001675,0.023846686,1.0,1
68875344,68875312,0.61545664,6.927216e-06,-0.06460506,1.0016626,0.0004629873,1.0,1
68979064,68979030,0.61565065,6.8168574e-06,0.0019043088,1.0016266,4.022781e-07,1.0,1
69071540,69071508,0.61600864,6.7310352e-06,-0.19938672,1.001615,0.004410106,1.0,1
69179591,69179556,0.6163065,6.6276966e-06,8.380413e-05,1.001594,7.791062e-10,1.0,1
69271666,69271634,0.6164345,6.54686e-06,-0.08925453,1.0015596,0.0008837741,1.0,1
69371783,69371751,0.61657476,6.4594515e-06,-0.27219015,1.0015403,0.008219282,1.0,1
69480097,69480067,0.6167385,6.3660354e-06,-0.07093698,1.0015208,0.00055826816,1.0,1
69571496,69571464,0.61688244,6.292299e-06,-0.14004776,1.001504,0.0021759912,1.0,1
69680027,69679997,0.6169951,6.2141235e-06,0.06368169,1.0014948,0.0004499228,1.0,1
69775499,69775468,0.6171279,6.1345977e-06,-0.41233766,1.0014843,0.018863374,1.0,1
69871982,69871951,0.6171464,6.0572256e-06,0.44841504,1.0014606,0.022309197,1.0,1
69976223,69976191,0.61721694,5.984726e-06,-0.18235713,1.0014323,0.003689618,1.0,1
70075830,70075798,0.6173571,5.9131903e-06,-0.1819675,1.0014136,0.0036739365,1.0,1
70179654,70179618,0.6175244,5.8349915e-06,-0.24634856,1.0014051,0.006733607,1.0,1
70271748,70271717,0.6175493,5.7648836e-06,0.08698174,1.0013989,0.00083947275,1.0,1
70375869,70375838,0.6177376,5.6999297e-06,-0.23363638,1.0013852,0.0060567167,1.0,1
70476197,70476166,0.61770815,5.635566e-06,0.085551694,1.0013616,0.0008121267,1.0,1
70575731,70575700,0.6177661,5.5730993e-06,0.00584957,1.0013392,3.7968562e-06,1.0,1
70676168,70676137,0.61772245,5.51322e-06,0.22075364,1.0013108,0.0054075974,1.0,1
70775981,70775949,0.6177505,5.4552256e-06,-0.30724484,1.0012994,0.010475211,1.0,1
70875989,70875958,0.61776495,5.398521e-06,0.03832248,1.0012915,0.00016296867,1.0,1
70976095,70976063,0.61782944,5.343156e-06,0.083921194,1.0012866,0.00078152417,1.0,1
71071450,71071420,0.61781526,5.296161e-06,-0.3636074,1.0012711,0.014671389,1.0,1
71172152,71172121,0.6178154,5.2507517e-06,-0.19683269,1.0012728,0.004299317,1.0,1
71271294,71271263,0.6178061,5.198125e-06,0.19114454,1.0012511,0.004054509,1.0,1
71367444,71367412,0.6177752,5.1463326e-06,0.1902628,1.0012373,0.004017244,1.0,1
71472067,71472035,0.617733,5.0907397e-06,0.11997843,1.0012153,0.0015974834,1.0,1
71575440,71575409,0.61773723,5.0364297e-06,-0.1351363,1.0012059,0.0020266476,1.0,1
71667417,71667386,0.6176552,4.994927e-06,0.15429878,1.0011866,0.0026422108,1.0,1
71776043,71776013,0.61691356,4.9466194e-06,1.078389,1.0046827,0.12861142,1.0037165,1
71871282,71871247,0.6167539,4.912177e-06,-0.5666784,1.001081,0.035641957,1.0,1
71971801,71971766,0.6169773,4.8715783e-06,0.058429986,1.0011278,0.00037891298,1.0,1
72076258,72076220,0.6169355,4.8310217e-06,-0.13138735,1.0011554,0.001915857,1.0,1
72173232,72173197,0.61660814,4.7892604e-06,0.70244443,1.0011219,0.054763917,1.0,1
72275411,72275379,0.6163053,4.7502986e-06,0.30844736,1.0010971,0.010559501,1.0,1
