timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
130173810,130163354,197388,0.10826161,-0.26869172,0.4314935,0
130657977,130647465,197388,0.106850445,-0.25636393,0.44325858,0
131169958,131159420,197388,0.08906826,-0.27382892,0.44049212,0
131662761,131653372,197388,0.08897011,-0.27364442,0.4402158,0
132159003,132149386,197388,0.09650209,-0.25388452,0.4377842,0
132665764,132655460,197388,0.07362155,-0.25914124,0.44095975,0
133162143,133152994,197388,0.09364926,-0.2864974,0.4460979,0
133658645,133649161,197388,0.094337605,-0.27493164,0.4541106,0
134169802,134159562,197388,0.10037237,-0.2694347,0.43188152,0
134678054,134668322,197388,0.09520185,-0.26288375,0.44916096,0
135169923,135159616,197388,0.08875558,-0.24301034,0.4403926,0
135662392,135653845,197388,0.07730835,-0.2885638,0.4312465,0
136159205,136149749,197388,0.051566,-0.27203554,0.45693588,0
136670467,136659467,197388,0.044161584,-0.2575863,0.46574864,0
137171185,137159788,197388,0.05904924,-0.2191233,0.44193953,0
137662274,137651817,197388,0.036211725,-0.25176376,0.4812001,0
138174372,138163579,197388,0.07384846,-0.24490678,0.44615972,0
138658644,138649569,197388,0.050163686,-0.265877,0.46247968,0
139170260,139159529,197388,0.0027263518,-0.24746406,0.44306755,0
139662111,139651657,197388,-0.011150359,-0.24773388,0.44485092,0
140171239,140159894,197388,-0.0061114104,-0.26265964,0.44766432,0
140658038,140648447,197388,0.014445813,-0.23919474,0.4576602,0
141154280,141145657,197388,-0.08604499,-0.16437833,0.4796474,0
141678132,141667740,197388,-0.10892783,-0.08294879,0.49616873,0
142170548,142161667,197388,-0.20698972,-0.12739603,0.45656848,0
142662554,142651750,197388,-0.24778937,-0.033402458,0.47144318,0
143154157,143144073,197388,-0.1438078,-0.0255602,0.5160354,0
143664234,143651730,197388,-0.0685557,-0.017133674,0.5276949,0
144158531,144147730,197388,-0.1834954,-0.063129954,0.5084019,0
144666099,144654136,197388,-0.21225479,-0.10255364,0.47838235,0
145158913,145149984,197388,-0.18617351,-0.07340175,0.48514476,0
145665892,145655809,197388,-0.17775863,-0.089671075,0.4775488,0
146158310,146144341,197388,-0.18876559,-0.066969514,0.4737137,0
146666087,146656043,197388,-0.19571325,-0.075928256,0.46171463,0
147166967,147156128,197388,-0.21544765,-0.068229295,0.4883432,0
147671651,147659870,197388,-0.2178539,-0.071559384,0.46231708,0
148171056,148161542,197388,-0.20697652,-0.06502748,0.474593,0
148678659,148670139,197388,-0.1869924,-0.08073884,0.49439898,0
149171552,149160141,197388,-0.1824148,-0.08398126,0.47921574,0
149662626,149654051,197388,-0.18600288,-0.06758345,0.48486948,0
150174870,150163954,197388,-0.18295273,-0.07729204,0.48909473,0
150667386,150655928,197388,-0.19246022,-0.07081796,0.48037526,0
151162859,151154199,197388,-0.18324323,-0.10968967,0.47857198,0
151666578,151656264,197388,-0.17777655,-0.095897466,0.4779138,0
152155227,152146159,197388,-0.18960476,-0.10872495,0.4943532,0
152675151,152664274,197388,-0.17089558,-0.10313733,0.45929205,0
153161970,153153586,197388,-0.19709992,-0.09744302,0.48375502,0
153674817,153666315,197388,-0.18573579,-0.07822738,0.4973033,0
154162957,154154027,197388,-0.20016146,-0.087248795,0.48111144,0
154674616,154664179,197388,-0.1902264,-0.058961265,0.48701522,0
155171453,155162345,197388,-0.18243018,-0.100268126,0.50104064,0
155659349,155652190,197388,-0.17874593,-0.09906328,0.4582189,0
156162358,156153864,197388,-0.18933848,-0.11486995,0.4618158,0
156658922,156650359,197388,-0.17405963,-0.09839366,0.481314,0
157155353,157144370,197388,-0.17017667,-0.13640162,0.43863904,0
157663827,157654658,197388,-0.20396912,-0.08637466,0.45806667,0
158175086,158166589,197388,-0.21378279,-0.06958439,0.4540658,0
158671001,158660576,197388,-0.20143223,-0.0925509,0.46529597,0
159163323,159154433,197388,-0.19236165,-0.09202641,0.46824637,0
159663232,159654401,197388,-0.19163428,-0.073522665,0.4544389,0
160166849,160156436,197388,-0.17253362,-0.12319299,0.48196012,0
160667617,160658391,197388,-0.18053856,-0.08892704,0.458136,0
161166982,161156561,197388,-0.17776906,-0.09107017,0.455628,0
161675620,161666465,197388,-0.17511517,-0.10956486,0.4602681,0
162155012,162146632,197388,-0.16411488,-0.12556033,0.46862546,0
162668959,162653266,197388,-0.16346228,-0.10818466,0.48330843,0
163170579,163160381,197388,-0.18563184,-0.12099974,0.45803535,0
163659183,163650648,197388,-0.21716042,-0.10512133,0.48248354,0
164166797,164156606,197388,-0.19094086,-0.10806799,0.45944947,0
164658957,164648277,197388,-0.19794697,-0.10557389,0.48207545,0
165159445,165148491,197388,-0.17327794,-0.10517367,0.47441646,0
165663287,165654739,197388,-0.1719377,-0.12274063,0.48287424,0
166159220,166148418,197388,-0.16248828,-0.11475434,0.4820457,0
166675460,166664440,197388,-0.1675784,-0.13088116,0.46710777,0
167171581,167160597,197388,-0.16286415,-0.12549785,0.43401778,0
167666843,167656660,197388,-0.16129981,-0.12560639,0.43755996,0
168167215,168158656,197388,-0.1789286,-0.10867559,0.4696562,0
168655181,168646722,197388,-0.16280183,-0.13240388,0.46831527,0
169168044,169157010,197388,-0.16400817,-0.12251772,0.47931105,0
169664026,169653089,197388,-0.17092559,-0.124279365,0.46310353,0
170170889,170160834,197388,-0.15751244,-0.14502482,0.4619292,0
170656253,170647104,197388,-0.24698427,-0.14732003,0.44374043,0
171159645,171150956,197388,-0.26233295,-0.13965867,0.38668138,0
171661214,171650734,197388,-0.23607175,-0.110602,0.4500467,0
172169224,172156961,197388,-0.22560152,-0.15576878,0.42984676,0
172677223,172666800,197388,-0.22050524,-0.19785579,0.4251518,0
173172995,173161128,197388,-0.20358881,-0.20128343,0.4253645,0
173671361,173660905,197388,-0.29961926,0.012606907,0.4291787,0
174172077,174161147,197388,-0.26849943,0.0879029,0.4355833,0
174659555,174649061,197388,-0.2091205,0.17406218,0.4540546,0
175163691,175153159,197388,-0.11458558,0.27540213,0.43588576,0
175675692,175667232,197388,-0.017739875,0.24720064,0.48255166,0
176176357,176167358,197388,-0.018570352,0.26086152,0.44923306,0
176667425,176657047,197388,-0.08826983,0.24650964,0.49214244,0
177173300,177160102,197388,-0.15283418,0.25809622,0.45330548,0
177675887,177666977,197388,-0.12928459,0.24914022,0.45120382,0
178157532,178145174,197388,-0.10645246,0.22232364,0.44801706,0
178659447,178645561,197388,-0.11206242,0.21930522,0.46945986,0
179168321,179157306,197388,-0.13286054,0.24284445,0.4546972,0
179667442,179657305,197388,-0.11842307,0.22323379,0.4709741,0
180155643,180145322,197388,-0.09552788,0.25517642,0.48668417,0
180663764,180653122,197388,-0.12655008,0.23116717,0.456662,0
181175869,181165435,197388,-0.0959781,0.24653338,0.4701242,0
181668410,181659087,197388,-0.13774739,0.23128144,0.47447616,0
182175710,182165082,197388,-0.09997198,0.2266252,0.474482,0
182675731,182667275,197388,-0.11546731,0.23388834,0.46192774,0
183157003,183147357,197388,-0.12062221,0.24585102,0.46958524,0
183672390,183661078,197388,-0.109633945,0.21870083,0.47855386,0
184159884,184147948,197388,-0.0783799,0.25106797,0.46704713,0
184676007,184667485,197388,-0.10984167,0.2073376,0.44339576,0
185163519,185153288,197388,-0.09796631,0.24421307,0.4799447,0
185660736,185651347,197388,-0.12075529,0.23348406,0.47243968,0
186160066,186149539,197388,-0.11638525,0.21047346,0.4774183,0
186655831,186647438,197388,-0.13918172,0.24735919,0.4967506,0
187172071,187161376,197388,-0.11346446,0.22032887,0.47482356,0
187660690,187651774,197388,-0.1255557,0.22872214,0.47087723,0
188176204,188167583,197388,-0.1335299,0.22042663,0.43338987,0
188659932,188651363,197388,-0.12435801,0.24957676,0.44529685,0
