timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
73512046,-0.047368523,-0.23780787,0.12233052,0.00014607733,0.9909763,-0.016221754,-0.119806305,0.057874497,0.0,0.0,-0.60678005,0,0,0,0,0
73557272,-0.045934618,-0.22016919,0.1223481,0.00097102206,0.99198014,-0.016068812,-0.11102346,0.058231506,0.0,0.0,-0.60575604,0,0,0,0,0
73608957,-0.045394797,-0.21164124,0.122376435,0.00019589117,0.9924362,-0.016069062,-0.10677849,0.058399636,0.0,0.0,-0.60887134,0,0,0,0,0
73657357,-0.045232713,-0.18576378,0.12239205,0.00028552688,0.9936999,-0.016803961,-0.09392819,0.058785114,0.0,0.0,-0.607932,0,0,0,0,0
73707866,-0.039374914,-0.17724238,0.12241695,0.00045505312,0.9941243,-0.014159372,-0.08952186,0.059179336,0.0,0.0,-0.6048069,0,0,0,0,0
73756031,-0.03831107,-0.15164095,0.12242622,0.00077549275,0.9951656,-0.014430546,-0.07676051,0.059539758,0.0,0.0,-0.60379654,0,0,0,0,0
73813065,-0.034486566,-0.14198938,0.12244085,0.00019565522,0.99553907,-0.012827457,-0.07184393,0.059798192,0.0,0.0,-0.60602975,0,0,0,0,0
73857450,-0.030739717,-0.12173593,0.12243988,6.4899665e-05,0.9962177,-0.011590785,-0.061647832,0.06012803,0.0,0.0,-0.60607153,0,0,0,0,0
73907385,-0.026975492,-0.10820728,0.12243598,-0.0004061399,0.99662024,-0.0101342425,-0.054794986,0.06035669,0.0,0.0,-0.6040026,0,0,0,0,0
73964564,-0.025105266,-0.0867917,0.12241987,-0.00039536925,0.9971423,-0.009863445,-0.044064704,0.06056579,0.0,0.0,-0.60372925,0,0,0,0,0
74012916,-0.029660448,-0.07146759,0.12236569,-0.0009129283,0.9974144,-0.012608258,-0.036561605,0.06057011,0.0,0.0,-0.6043824,0,0,0,0,0
74061346,-0.04604666,-0.0508475,0.12231636,-0.0015126974,0.99757916,-0.02141751,-0.02677337,0.06049999,0.0,0.0,-0.614704,0,0,0,0,0
74108015,-0.06222661,-0.057509355,0.122214206,-0.0022779137,0.99729264,-0.029282458,-0.030582136,0.060121574,0.0,0.0,-0.6224329,0,0,0,0,0
74157644,-0.052237324,-0.06237014,0.12211052,-0.0018961476,0.9973608,-0.024152486,-0.03270404,0.0601541,0.0,0.0,-0.6173952,0,0,0,0,0
74212141,-0.04940938,-0.06731103,0.12197635,-0.0026016047,0.99732184,-0.022591984,-0.035081103,0.060067613,0.0,0.0,-0.6127865,0,0,0,0,0
74252100,-0.049955133,-0.07128712,0.12187248,-0.0026978073,0.99725306,-0.022743275,-0.037078742,0.05995251,0.0,0.0,-0.6091042,0,0,0,0,0
74304423,-0.05191678,-0.07282382,0.12174688,-0.0029091157,0.9972076,-0.023676315,-0.037902173,0.059831917,0.0,0.0,-0.60666376,0,0,0,0,0
74355891,-0.052795567,-0.07732291,0.121581875,-0.0034146064,0.9971214,-0.02397886,-0.040169355,0.059668634,0.0,0.0,-0.60805815,0,0,0,0,0
74405406,-0.056827266,-0.07377491,0.12143779,-0.0037633553,0.9971391,-0.02610119,-0.038519055,0.059570037,0.0,0.0,-0.6079328,0,0,0,0,0
74464790,-0.056566738,-0.077894576,0.12116343,-0.005123861,0.9970763,-0.0258498,-0.04056135,0.05937543,0.0,0.0,-0.60729325,0,0,0,0,0
74513550,-0.05674546,-0.09199259,0.12088893,-0.005006032,0.99679554,-0.025510732,-0.04758952,0.05901746,0.0,0.0,-0.61145383,0,0,0,0,0
74561459,-0.058602132,-0.0870835,0.12069651,-0.0052922824,0.9968823,-0.026591705,-0.04519538,0.05895569,0.0,0.0,-0.6103473,0,0,0,0,0
74612156,-0.05899694,-0.097860195,0.12040359,-0.004552217,0.9966468,-0.026464077,-0.050573137,0.05862732,0.0,0.0,-0.6113426,0,0,0,0,0
74660018,-0.057495054,-0.09043596,0.12020095,-0.0052103377,0.99684024,-0.025948405,-0.04682701,0.058681175,0.0,0.0,-0.6085865,0,0,0,0,0
74713065,-0.060468804,-0.0968187,0.11990284,-0.0049328934,0.996666,-0.027242122,-0.05009054,0.05835777,0.0,0.0,-0.6099488,0,0,0,0,0
74756084,-0.05924955,-0.09838481,0.1196749,-0.0064502535,0.99665236,-0.026592344,-0.050832238,0.058249295,0.0,0.0,-0.6077721,0,0,0,0,0
74812685,-0.06084736,-0.09989914,0.11938899,-0.00499131,0.9966031,-0.027349608,-0.051629312,0.05804099,0.0,0.0,-0.60844904,0,0,0,0,0
74856092,-0.059040416,-0.09953516,0.11918364,-0.0053289384,0.996642,-0.026465578,-0.051392794,0.057991177,0.0,0.0,-0.6099305,0,0,0,0,0
74908030,-0.0612495,-0.09914152,0.11886036,-0.0053335167,0.99663097,-0.027586676,-0.05125623,0.057779875,0.0,0.0,-0.60711354,0,0,0,0,0
74957471,-0.059455547,-0.097274035,0.11863798,-0.005353148,0.99670583,-0.026755033,-0.050270934,0.057745397,0.0,0.0,-0.6071867,0,0,0,0,0
75003977,-0.062264528,-0.09821779,0.11837029,-0.0067803077,0.99665284,-0.028133025,-0.050818436,0.057525318,0.0,0.0,-0.6091111,0,0,0,0,0
75053480,-0.061233435,-0.09832757,0.11803922,-0.005555678,0.9966741,-0.027624298,-0.0508389,0.057384703,0.0,0.0,-0.6103526,0,0,0,0,0
75106016,-0.06362331,-0.09711958,0.11775546,-0.004181609,0.9966768,-0.028858878,-0.050301477,0.05720339,0.0,0.0,-0.6111958,0,0,0,0,0
75163848,-0.06508458,-0.09488552,0.11751726,-0.006524299,0.99671364,-0.029660298,-0.049226608,0.057087313,0.0,0.0,-0.612346,0,0,0,0,0
75212348,-0.06930634,-0.09490855,0.11710681,-0.006977279,0.99665993,-0.031773612,-0.049351953,0.056778297,0.0,0.0,-0.6124058,0,0,0,0,0
