timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
96051806,96051620,1310988,1310988,-0.00022894853,0.0010297422,1.6456674e-05,-0.005035339,0.0005653657,-0.03609963,4115,3987,0,0
96551668,96551487,1310988,1310988,-0.00023458025,-8.3930965e-05,-0.00024146271,-0.0024802575,-0.00085745717,-0.032582343,4113,3373,0,0
97051628,97051450,1310988,1310988,0.00045092925,3.2990083e-05,0.00015190394,-0.0020953722,-0.00014221696,-0.03786308,4124,3891,0,0
97552081,97551900,1310988,1310988,0.0006732651,0.0002900887,-7.5732883e-06,-0.0021962917,0.0009826993,-0.037992995,4031,3875,0,0
98048080,98047904,1310988,1310988,4.300315e-05,-0.0008064452,-6.640003e-05,-0.0009871222,0.0003657821,-0.03909752,3879,3998,0,0
98548486,98548311,1310988,1310988,0.001479985,0.0026534258,0.0026845096,-0.0015444868,-0.001046555,-0.035326697,4050,3867,0,0
99051651,99051471,1310988,1310988,0.0007233007,-0.00026526037,0.0040290086,-0.0016041064,-0.00041164705,-0.041737754,3996,4026,0,0
99552598,99552422,1310988,1310988,-0.002290798,-0.00049547997,0.0031853213,-0.0014348491,-0.0006735381,-0.041218624,3968,4236,0,0
100052242,100052065,1310988,1310988,-0.0007346029,-0.001388901,0.001397523,-0.0014630458,-0.0013427719,-0.043159507,3937,4009,0,0
100552326,100552148,1310988,1310988,8.753744e-05,0.0012418772,-0.000938476,-0.0026312508,-0.00024408063,-0.036037527,4032,3655,0,0
101052540,101052364,1310988,1310988,0.0010943902,0.0010593153,0.00027172713,-0.0043395376,-0.0003090986,-0.039445378,4006,4146,0,0
101548555,101548380,1310988,1310988,0.00029774816,-0.00072511437,7.2377145e-05,-0.0045563094,4.080445e-05,-0.03930836,4632,3988,0,0
102048541,102048365,1310988,1310988,-0.00055208075,-6.903282e-05,0.00018568357,-0.0054129036,-0.00026064276,-0.039184794,4069,4026,0,0
102551777,102551596,1310988,1310988,-9.4399635e-05,-0.0006834921,0.00013170742,-0.0043774396,-0.0012783709,-0.03822912,4052,3894,0,0
103052370,103052189,1310988,1310988,0.00053446327,0.00037636954,7.519741e-05,-0.004681651,0.00039828153,-0.038843438,3939,4046,0,0
103552396,103552217,1310988,1310988,-6.37576e-05,-0.00040555972,5.341886e-05,-0.005271332,-0.0004109742,-0.038209055,3954,4028,0,0
104052538,104052365,1310988,1310988,-0.00068414194,2.9186867e-05,-0.00030719233,-0.004339766,-0.00044295285,-0.037624728,4091,3981,0,0
104552569,104552390,1310988,1310988,0.0005428228,0.00051469356,0.00016744256,-0.004684507,0.00050275604,-0.036455538,4063,3836,0,0
105048551,105048375,1310988,1310988,0.00067969604,0.00021294063,0.0003298701,-0.004509529,-0.00045763393,-0.038822193,3840,4027,0,0
105548549,105548373,1310988,1310988,-0.00047942836,0.0008026081,8.633894e-05,-0.0036417937,-0.00012364282,-0.03869746,3580,4097,0,0
106048835,106048547,1310988,1310988,-0.00031021595,0.0011677598,-0.00080658804,-0.00459751,-0.0004449752,-0.041316148,3853,4024,0,0
106552459,106552285,1310988,1310988,-0.00012836691,0.000106004925,0.00019523724,-0.005012701,-0.00040980912,-0.03840543,3941,3920,0,0
107052437,107052260,1310988,1310988,-8.020886e-05,-0.0005704757,0.00022721438,-0.004978221,-0.0011848535,-0.037435908,3939,3864,0,0
107552578,107552402,1310988,1310988,-0.00023304716,-0.0001731335,-8.7244676e-05,-0.004231871,-0.000587662,-0.040251534,4094,4011,0,0
108052339,108052160,1310988,1310988,6.4605774e-05,5.4572236e-05,0.00021781304,-0.004693926,-0.00089338294,-0.03673063,4185,3914,0,0
108548695,108548516,1310988,1310988,0.00012677083,9.0146124e-05,-0.00014740769,-0.004806297,-0.00019570011,-0.040085476,3860,3984,0,0
109048560,109048383,1310988,1310988,0.00020112218,8.641543e-05,0.00015907832,-0.0038620604,-0.0012292684,-0.036276437,3852,3856,0,0
109548604,109548428,1310988,1310988,7.138805e-05,-0.00030531033,3.2123015e-05,-0.004597909,-0.0017658604,-0.03625329,4059,3845,0,0
110052716,110052531,1310988,1310988,-0.0002404764,0.00022942075,-0.00015454442,-0.0041468353,-8.1821105e-05,-0.038354665,3977,4003,0,0
110552550,110552376,1310988,1310988,0.00034051805,-0.00012636154,0.00014028205,-0.00471591,0.0010599798,-0.036818426,4034,3869,0,0
111052918,111052743,1310988,1310988,-0.00020316288,6.145829e-05,-8.016765e-05,-0.0047124643,-0.0008102152,-0.033161942,4091,3578,0,0
111553075,111552890,1310988,1310988,-0.00017956515,-0.0001856998,-7.7327386e-05,-0.0056748744,0.0011827343,-0.046313524,4004,4771,0,0
112048823,112048642,1310988,1310988,-0.00020791517,-0.00046357207,0.00019654393,-0.0041623097,-0.0012668467,-0.036344856,3861,3904,0,0
112548894,112548718,1310988,1310988,-0.0002722443,-1.2978748e-07,0.00019193099,-0.0037290882,-0.0010379975,-0.035808954,3861,3934,0,0
113048665,113048481,1310988,1310988,-0.0001401057,-0.0003577623,6.521469e-05,-0.005098689,0.0003193495,-0.038043372,3862,3967,0,0
113552266,113552088,1310988,1310988,-0.00040477817,-0.0003447722,-0.00016094853,-0.008494944,-0.0005982738,-0.07425685,4078,7876,0,0
114052360,114052182,1310988,1310988,-0.00023951357,-0.0005452049,0.000105566454,-0.0043636872,-0.0007085169,-0.035462033,4039,3584,0,0
114552864,114552687,1310988,1310988,-0.0003775094,-0.00014745258,-6.713133e-06,-0.003146724,4.261362e-05,-0.036619335,4133,3962,0,0
115052526,115052350,1310988,1310988,-0.00062371365,-0.0005451391,0.00022848508,-0.004175187,0.00066280144,-0.037598092,3988,3952,0,0
115549313,115549136,1310988,1310988,-0.0019270855,-0.00072940945,0.0018380891,-0.0038221034,-0.0009109358,-0.023833828,4226,3957,0,0
116048398,116048119,1310988,1310988,-0.00038670067,-0.0006804584,0.00067164097,-0.0025749437,-0.00080340804,-0.021972982,7367,4438,0,0
116548933,116548654,1310988,1310988,0.0006641023,-0.0002272662,-0.00080473913,-0.0020699087,-0.0011609257,-0.029042274,3950,3940,0,0
117048942,117048768,1310988,1310988,0.000386638,-0.00011941586,-0.00032058373,-0.0027261938,-0.0013654805,-0.034343347,3766,4035,0,0
117549168,117548992,1310988,1310988,-1.0302863e-05,3.5849152e-05,-7.381081e-05,-0.0023691682,-0.00020906495,-0.03308555,3883,3871,0,0
118052969,118052790,1310988,1310988,0.00016235201,-0.00019928545,-6.073774e-05,-0.0004213041,-0.00056251395,-0.03232828,3985,4013,0,0
